link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,547,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,4989.13,13.11981322,0.0,"LINESTRING (-87.67559107263199 42.01165237596879, -87.66368557298236 42.020654602195)"
2,2,548,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,6719.41,13.11981322,0.0,"LINESTRING (-87.69940207193123 42.00355037236519, -87.6874965722816 42.012552598591405)"
3,3,549,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,10095.53,13.11981322,0.0,"LINESTRING (-87.66487612294732 41.97744391630916, -87.65297062329769 41.98644614253538)"
4,4,550,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9444.62,13.11981322,0.0,"LINESTRING (-87.68987767221154 41.96394057696984, -87.67797217256191 41.972942803196055)"
5,5,551,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,17223.82,13.11981322,0.0,"LINESTRING (-87.65297062329769 41.93243278517809, -87.64106512364806 41.9414350114043)"
6,6,552,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,6446.03,13.11981322,0.0,"LINESTRING (-87.74345242063487 41.99004703302587, -87.73154692098524 41.99904925925208)"
7,7,553,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9884.28,13.11981322,0.0,"LINESTRING (-87.72559417116042 41.96033968647936, -87.7136886715108 41.96934191270557)"
8,8,554,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9252.3,13.11981322,0.0,"LINESTRING (-87.79940826898812 41.987346365158004, -87.78750276933849 41.99634859138422)"
9,9,555,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,6699.45,13.11981322,0.0,"LINESTRING (-87.8220287183224 41.94863679238527, -87.81012321867277 41.95763901861149)"
10,10,556,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,13823.65,13.11981322,0.0,"LINESTRING (-87.76369177003923 41.93873434353644, -87.7517862703896 41.947736569762654)"
11,11,557,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,10551.06,13.11981322,0.0,"LINESTRING (-87.7613106701093 41.896423880273225, -87.74940517045968 41.90542610649944)"
12,12,558,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,6985.78,13.11981322,0.0,"LINESTRING (-87.72559417116042 41.90182521600896, -87.7136886715108 41.910827442235174)"
13,13,559,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9401.48,13.11981322,0.0,"LINESTRING (-87.71964142133561 41.87211786946244, -87.70773592168598 41.88112009568866)"
14,14,560,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,14763.69,13.11981322,0.0,"LINESTRING (-87.7136886715108 41.92973211731022, -87.70178317186117 41.93873434353644)"
15,15,561,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,8934.72,13.11981322,0.0,"LINESTRING (-87.68035327249183 41.903625661254196, -87.6684477728422 41.91262788748041)"
16,16,562,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,10301.01,13.11981322,0.0,"LINESTRING (-87.6684477728422 41.87571875995293, -87.65654227319257 41.88472098617915)"
17,17,563,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9098.55,13.11981322,0.0,"LINESTRING (-87.63749347375317 41.90182521600896, -87.62558797410354 41.910827442235174)"
18,18,564,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,9300.74,13.11981322,0.0,"LINESTRING (-87.6303501739634 41.88021987306604, -87.61844467431376 41.889222099292255)"
19,19,565,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,2624.61,13.11981322,0.0,"LINESTRING (-87.62558797410354 41.85861453012312, -87.61368247445391 41.867616756349335)"
20,20,566,1,0.0,0.0,1,49500,96.54,60.0,0,3,,0.15,4,1,7707.95,13.11981322,0.0,"LINESTRING (-87.71726032140567 41.84061007767069, -87.70535482175605 41.849612303896905)"
